eV,flux
 406.798981,             3.925177
 407.280090,             3.972244
 407.762268,             4.058599
 408.245605,             3.710685
 408.730103,             3.589176
 409.215790,             3.962406
 409.702576,             4.100969
 410.190582,             4.093709
 410.679688,             3.903264
 411.169983,             4.089263
 411.661469,             3.983500
 412.154053,             3.910682
 412.647949,             3.992230
 413.142914,             4.097688
 413.639160,             4.342872
 414.136536,             3.949105
 414.635101,             4.155760
 415.134949,             4.136342
 415.635925,             4.201899
 416.138153,             4.143908
 416.641571,             4.286616
 417.146210,             4.299473
 417.652069,             4.387595
 418.159180,             4.503760
 418.667511,             4.510242
 419.177094,             4.523962
 419.687866,             4.536886
 420.199951,             4.484975
 420.713287,             4.452842
 421.227844,             4.471588
 421.743652,             4.479725
 422.260712,             4.548993
 422.779114,             4.449166
 423.298676,             4.431778
 423.819672,             4.540254
 424.341797,             4.569614
 424.865326,             4.757714
 425.390137,             4.707383
 425.916138,             4.784787
 426.443604,             4.778731
 426.972229,             4.705670
 427.502258,             4.535663
 428.033539,             4.285414
 428.566162,             5.034482
 429.100128,             5.490844
 429.635437,             5.571070
 430.172058,             5.512868
 430.710083,             5.253577
 431.249390,             5.568965
 431.790039,             5.522308
 432.332123,             5.455583
 432.875458,             5.413423
 433.420227,             5.395385
 433.966370,             5.336429
 434.513916,             5.427362
 435.062805,             5.554736
 435.613068,             5.705427
 436.164764,             5.562763
 436.717834,             5.625225
 437.272369,             5.687856
 437.828186,             5.638146
 438.385529,             5.710072
 438.944244,             5.725531
 439.504425,             5.244079
 440.066010,             4.854993
 440.628998,             4.930667
 441.193512,             5.774073
 441.759399,             5.541291
 442.326752,             5.572161
 442.895630,             5.578161
 443.465912,             5.577558
 444.037659,             5.662556
 444.610931,             5.687263
 445.185608,             5.720740
 445.761871,             5.715569
 446.339539,             5.772985
 446.918732,             5.662096
 447.499481,             5.811820
 448.081635,             5.848410
 448.665405,             5.838979
 449.250641,             5.913314
 449.837463,             6.056155
 450.425781,             6.050219
 451.015625,             6.061722
 451.607056,             6.060695
 452.200012,             6.137766
 452.794556,             6.072768
 453.390594,             5.752963
 453.988281,             6.050833
 454.587494,             6.207896
 455.188293,             6.257402
 455.790741,             6.288064
 456.394745,             6.226587
 457.000366,             6.388289
 457.607574,             6.414867
 458.216400,             6.448115
 458.826843,             6.528397
 459.438965,             6.570922
 460.052673,             6.499360
 460.668060,             6.568203
 461.285065,             6.508992
 461.903717,             6.532239
 462.524078,             6.480226
 463.145996,             6.627194
 463.769775,             6.645009
 464.395050,             6.662980
 465.022125,             6.723391
 465.650848,             6.544162
 466.281281,             6.773134
 466.913452,             3.540594
 467.547302,             5.059203
 468.182922,             3.596699
 468.820251,             1.260500
 469.459290,             0.859864
 470.100067,             1.755214
 470.742645,             1.443692
 471.386963,             5.479058
 472.033020,             3.092721
 472.680908,            -1.359820
 473.330505,             5.002609
 473.981934,             3.467798
 474.635162,             5.015238
 475.290192,             6.581405
 475.946991,             2.019097
