eV,Counts
310.100037,0.0
310.37951699999996,0.0
310.659485,0.0
310.93994100000003,0.0
311.220917,0.0
311.50244100000003,0.0
311.784454,0.0
312.066925,0.0
312.34997599999997,0.0
312.633514,0.0
312.91754199999997,0.0
313.202148,0.0
313.487213,0.0
313.772858,0.0
314.05896,0.0
314.345612,0.0
314.632812,0.0
314.920502,0.0
315.20871,0.0
315.497467,0.0
315.78677400000004,0.0
316.07653799999997,0.0
316.366943,0.0
316.657806,0.0
316.94921899999997,0.0
317.24118,0.0
317.533661,0.0
317.82669100000004,0.0
318.1203,0.0
318.414398,0.0
318.709045,0.0
319.004272,0.0
319.300018,0.0
319.596344,0.0
319.893158,0.0
320.190582,0.0
320.488525,0.0
320.78704799999997,0.0
321.086151,0.0
321.385773,0.0
321.68597400000004,0.0
321.986694,0.0
322.288025,0.0
322.589905,0.0
322.892334,0.0
323.19534300000004,0.0
323.49893199999997,0.0
323.80310099999997,0.0
324.10778799999997,0.0
324.413116,0.0
324.718964,-0.000487
325.025421,0.000143
325.332428,0.000198
325.64004500000004,-0.000391
325.948273,-2.3e-05
326.257019,0.000152
326.566376,-0.00103
326.876312,-2.4e-05
327.18689,-0.00044699999999999997
327.49798599999997,0.000324
327.809753,-0.000133
328.12203999999997,-0.000768
328.434937,-0.000379
328.748444,-5.2000000000000004e-05
329.06256099999996,-0.000458
329.377289,0.00014099999999999998
329.692596,2e-06
330.008514,-0.000436
330.325012,-0.00018899999999999999
330.64215099999996,0.000241
330.95986899999997,-0.000373
331.278259,0.000264
331.597198,-0.000362
331.916779,-0.003677
332.236969,-0.002179
332.55777,0.0005650000000000001
332.879242,-3.8e-05
333.201263,0.000239
333.52398700000003,-0.000196
333.847229,0.000132
334.171204,-6.500000000000001e-05
334.495728,-0.000949
334.820953,-0.001377
335.146759,-1.1e-05
335.473206,-0.000184
335.800323,-4.2e-05
336.128021,-0.000182
336.45645099999996,0.000105
336.785461,0.000531
337.115112,0.000168
337.445404,0.000517
337.776367,-0.000349
338.107971,-0.000421
338.440247,0.0001
338.773163,0.000594
339.10672,0.000157
339.440918,-0.000121
339.77578700000004,0.00061
340.11138900000003,0.000146
340.447571,-0.000194
340.784454,0.000659
341.121979,-0.000332
341.460175,0.00021099999999999998
341.799072,0.000307
342.138641,0.000125
342.478882,-0.000306
342.819733,-2.2e-05
343.161346,0.000488
343.503601,-0.000251
343.846588,-0.000281
344.190216,0.000217
344.534515,0.000293
344.879547,0.00042199999999999996
345.22522000000004,0.000417
345.571686,0.00022
345.918762,-4.7e-05
346.266541,-0.000429
346.615021,-5.9999999999999995e-05
346.964203,0.0008380000000000001
347.314117,0.000363
347.664764,0.000399
348.016052,-0.000155
348.368073,6.9e-05
348.720795,0.0008320000000000001
349.074249,0.00022999999999999998
349.428467,0.00024300000000000002
349.783325,0.001016
350.13894700000003,1.6e-05
350.49527,0.0005009999999999999
350.852325,0.000728
351.210144,-0.000113
351.568634,-0.00013000000000000002
351.927917,4e-06
352.287872,0.000324
352.648621,0.000584
353.01004,0.0007030000000000001
353.372284,0.000146
353.735229,0.000538
354.098907,0.000223
354.46337900000003,0.000517
354.828552,0.00011399999999999999
355.19455,0.000321
355.56124900000003,0.0007650000000000001
355.92868,0.000371
356.296906,0.000151
356.665863,2.3e-05
357.03564500000005,-0.000195
357.40618900000004,-0.000123
357.777466,0.00020099999999999998
358.14950600000003,0.000215
358.522339,5.1e-05
358.895935,-0.000157
359.270355,0.000273
359.645508,0.000294
360.021454,0.00010700000000000001
360.398224,6.2e-05
360.77572599999996,0.000659
361.154083,0.0006889999999999999
361.53320299999996,0.000354
361.913116,-0.000322
362.293823,0.00046699999999999997
362.675323,0.000587
363.057648,0.000156
363.44082599999996,1.3000000000000001e-05
363.82473799999997,-0.000146
364.209503,0.000167
364.595062,0.00037400000000000004
364.98141499999997,0.0005639999999999999
365.36868300000003,0.000612
365.756653,0.000648
366.145538,0.000542
366.53515600000003,-0.000184
366.92569,-0.000495
367.31701699999996,0.000541
367.709229,-0.00044100000000000004
368.102264,0.00047999999999999996
368.49609399999997,0.000121
368.890808,3.1e-05
369.286316,9.9e-05
369.68277,8e-06
370.079987,0.001003
370.478088,5.4000000000000005e-05
370.877045,0.000368
371.276825,-0.000279
371.677551,0.0007030000000000001
372.079102,-0.000166
372.481506,0.000553
372.884796,0.000866
373.28893999999997,6.3e-05
373.69397000000004,0.000131
374.099945,0.000593
374.506714,0.0005059999999999999
374.914429,0.000572
375.322998,0.000608
375.732452,0.00014
376.142792,0.0005740000000000001
376.554077,0.00021600000000000002
376.966248,0.000454
377.379272,0.001342
377.793274,0.000766
378.20813,0.001005
378.623962,0.001221
379.04064900000003,0.000616
379.458252,0.000543
379.876831,-0.000234
380.296265,8.6e-05
380.716675,-0.000127
381.138031,0.001124
381.560272,0.0012519999999999999
381.983459,0.000399
382.407593,0.000872
382.832703,0.000236
383.258759,0.00011
383.685699,0.00066
384.113617,0.000557
384.542511,0.001141
384.972321,0.0012720000000000001
385.403198,0.000784
385.83493,0.000604
386.2677,0.000982
386.701385,0.000699
387.136047,0.00035800000000000003
387.571747,0.0010199999999999999
388.008331,0.000295
388.446045,0.001026
388.884613,0.000421
389.324249,-0.000165
389.76483199999996,0.000466
390.206421,0.00063
390.649048,0.000798
391.092651,0.001021
391.537292,0.00036899999999999997
391.98291,0.001111
392.42956499999997,0.0010949999999999998
392.877228,0.000516
393.325928,0.001367
393.775635,0.000897
394.226379,0.000816
394.678162,0.0008119999999999999
395.130981,0.00095
395.584839,0.000682
396.039734,0.002595
396.49566699999997,0.0016300000000000002
396.952667,0.000691
397.410736,0.000601
397.869843,0.00099
398.330017,0.0007480000000000001
398.79126,0.000698
399.25354,0.001104
399.716949,0.001215
400.181366,0.000417
400.646973,0.000849
401.113525,0.0007
401.581268,0.000508
402.050049,0.000995
402.51995800000003,0.0009939999999999999
402.990967,0.000752
403.463043,0.0011380000000000001
403.93624900000003,0.001544
404.410553,0.000523
404.886017,0.001112
405.362549,0.001501
405.840271,0.000973
406.319061,0.001142
406.798981,0.0007830000000000001
407.28009,0.000968
407.762268,0.001032
408.24560499999995,0.000682
408.730103,0.000967
409.21578999999997,0.000724
409.70257599999997,0.001457
410.190582,0.001389
410.679688,0.00107
411.169983,0.001021
411.661469,0.000953
412.154053,0.000611
412.64794900000004,0.0009029999999999999
413.142914,0.001011
413.63916,0.00124
414.136536,0.00101
414.63510099999996,0.001417
415.134949,0.001259
415.635925,0.000915
416.138153,0.0014349999999999999
416.641571,0.001816
417.14621,0.0013800000000000002
417.652069,0.0013650000000000001
418.15918,0.001196
418.667511,0.001112
419.177094,0.00105
419.68786600000004,0.001248
420.199951,0.0009880000000000002
420.71328700000004,0.001674
421.22784400000006,0.0013570000000000001
421.74365199999994,0.0010119999999999999
422.260712,0.001802
422.779114,0.001242
423.298676,0.001497
423.81967199999997,0.00144
424.341797,0.001539
424.865326,0.000877
425.39013700000004,0.00168
425.916138,0.001442
426.443604,0.0010630000000000001
426.972229,0.000998
427.502258,0.001466
428.03353899999996,0.001891
428.566162,0.001493
429.10012800000004,0.0010019999999999999
