eV,Counts
310.100037,0.0
310.37951699999996,0.0
310.659485,0.0
310.93994100000003,0.0
311.220917,0.0
311.50244100000003,0.0
311.784454,0.0
312.066925,0.0
312.34997599999997,0.0
312.633514,0.0
312.91754199999997,0.0
313.202148,0.0
313.487213,0.0
313.772858,0.0
314.05896,0.0
314.345612,0.0
314.632812,0.0
314.920502,0.0
315.20871,0.0
315.497467,0.0
315.78677400000004,0.0
316.07653799999997,0.0
316.366943,0.0
316.657806,0.0
316.94921899999997,0.0
317.24118,0.0
317.533661,0.0
317.82669100000004,0.0
318.1203,0.0
318.414398,0.0
318.709045,0.0
319.004272,0.0
319.300018,0.0
319.596344,0.0
319.893158,0.0
320.190582,0.0
320.488525,0.0
320.78704799999997,0.0
321.086151,0.0
321.385773,0.0
321.68597400000004,0.0
321.986694,0.0
322.288025,0.0
322.589905,0.0
322.892334,0.0
323.19534300000004,0.0
323.49893199999997,0.0
323.80310099999997,0.0
324.10778799999997,0.0
324.413116,0.0
324.718964,-0.0005679999999999999
325.025421,-0.000271
325.332428,0.000653
325.64004500000004,0.000241
325.948273,0.00021899999999999998
326.257019,4.9e-05
326.566376,0.000412
326.876312,-0.00064
327.18689,-0.000368
327.49798599999997,0.000328
327.809753,-0.000362
328.12203999999997,-0.00015900000000000002
328.434937,-0.000396
328.748444,-0.000672
329.06256099999996,-0.000991
329.377289,-2.8000000000000003e-05
329.692596,0.00011599999999999999
330.008514,-0.000426
330.325012,-0.000364
330.64215099999996,-0.000196
330.95986899999997,0.000338
331.278259,-9e-06
331.597198,8.1e-05
331.916779,-0.0008289999999999999
332.236969,-0.001129
332.55777,-9.6e-05
332.879242,0.000361
333.201263,-0.00022799999999999999
333.52398700000003,-6.500000000000001e-05
333.847229,-0.000171
334.171204,6.3e-05
334.495728,0.000294
334.820953,-0.000536
335.146759,-0.000342
335.473206,-0.00011499999999999999
335.800323,0.000205
336.128021,0.000182
336.45645099999996,0.000153
336.785461,4e-06
337.115112,6.9e-05
337.445404,0.000537
337.776367,0.00041600000000000003
338.107971,0.000254
338.440247,0.0005200000000000001
338.773163,-0.000366
339.10672,0.00043799999999999997
339.440918,9e-05
339.77578700000004,-1e-06
340.11138900000003,0.00040899999999999997
340.447571,0.000375
340.784454,0.000303
341.121979,3.6e-05
341.460175,0.000386
341.799072,0.00021099999999999998
342.138641,-0.00025299999999999997
342.478882,0.00040300000000000004
342.819733,0.000634
343.161346,-0.000202
343.503601,0.000389
343.846588,4e-05
344.190216,0.000144
344.534515,0.0001
344.879547,0.000288
345.22522000000004,0.00040300000000000004
345.571686,0.00040300000000000004
345.918762,0.0009960000000000001
346.266541,-2.5e-05
346.615021,0.000269
346.964203,0.0005690000000000001
347.314117,-0.000218
347.664764,0.0006580000000000001
348.016052,0.000251
348.368073,-0.000293
348.720795,0.000458
349.074249,-0.00035099999999999997
349.428467,0.00045999999999999996
349.783325,0.000193
350.13894700000003,0.000128
350.49527,-2.4e-05
350.852325,0.000143
351.210144,1.4000000000000001e-05
351.568634,-0.000138
351.927917,0.000122
352.287872,0.00046699999999999997
352.648621,-2.8000000000000003e-05
353.01004,1.4000000000000001e-05
353.372284,-0.000124
353.735229,-4.1e-05
354.098907,-0.000298
354.46337900000003,0.00048600000000000005
354.828552,1.9e-05
355.19455,-0.00016999999999999999
355.56124900000003,0.00045999999999999996
355.92868,0.00019099999999999998
356.296906,0.000109
356.665863,8.6e-05
357.03564500000005,0.000157
357.40618900000004,0.000181
357.777466,-0.000193
358.14950600000003,0.00011899999999999999
358.522339,-0.000349
358.895935,0.000155
359.270355,8.499999999999999e-05
359.645508,-0.00022400000000000002
360.021454,6.3e-05
360.398224,0.00010400000000000001
360.77572599999996,4.5e-05
361.154083,0.00011499999999999999
361.53320299999996,-0.00011
361.913116,0.00011499999999999999
362.293823,5e-05
362.675323,-0.000263
363.057648,0.000118
363.44082599999996,0.000571
363.82473799999997,0.000246
364.209503,-0.0001
364.595062,0.000468
364.98141499999997,0.0005200000000000001
365.36868300000003,0.00040599999999999995
365.756653,-1.9e-05
366.145538,0.0008789999999999999
366.53515600000003,0.00036
366.92569,0.000607
367.31701699999996,0.000102
367.709229,0.000379
368.102264,0.000373
368.49609399999997,0.00015800000000000002
368.890808,-0.000171
369.286316,0.00011100000000000001
369.68277,-6.6e-05
370.079987,0.000242
370.478088,5e-06
370.877045,0.000582
371.276825,0.000301
371.677551,-0.000346
372.079102,-0.000196
372.481506,0.000597
372.884796,0.000193
373.28893999999997,0.000366
373.69397000000004,4.7e-05
374.099945,0.00025
374.506714,0.0003
374.914429,0.000327
375.322998,0.0006
375.732452,0.000277
376.142792,0.000183
376.554077,-0.00023799999999999998
376.966248,0.00025
377.379272,0.000323
377.793274,0.000286
378.20813,0.000509
378.623962,0.0005
379.04064900000003,0.000624
379.458252,0.000491
379.876831,0.000897
380.296265,0.0006
380.716675,0.0001
381.138031,0.000388
381.560272,0.00041900000000000005
381.983459,0.00036899999999999997
382.407593,0.000492
382.832703,0.0006230000000000001
383.258759,0.000391
383.685699,0.000436
384.113617,0.000234
384.542511,0.000218
384.972321,0.00075
385.403198,0.000644
385.83493,0.000436
386.2677,0.000395
386.701385,0.000102
387.136047,0.00033
387.571747,0.0006190000000000001
388.008331,0.000567
388.446045,0.000264
388.884613,5.5e-05
389.324249,0.000109
389.76483199999996,-1.1e-05
390.206421,0.00035299999999999996
390.649048,0.000204
391.092651,0.000399
391.537292,-6.7e-05
391.98291,0.00065
392.42956499999997,0.000602
392.877228,0.000513
393.325928,9.2e-05
393.775635,0.000609
394.226379,0.00028
394.678162,0.000434
395.130981,0.000668
395.584839,0.00018600000000000002
396.039734,0.000975
396.49566699999997,0.000305
396.952667,0.000267
397.410736,0.000654
397.869843,0.000161
398.330017,0.00042300000000000004
398.79126,1.9e-05
399.25354,0.000898
399.716949,0.000718
400.181366,0.000909
400.646973,0.000234
401.113525,0.000543
401.581268,0.000362
402.050049,0.0009710000000000001
402.51995800000003,0.000127
402.990967,0.000647
403.463043,0.000546
403.93624900000003,0.000717
404.410553,0.00061
404.886017,0.00021600000000000002
405.362549,0.000773
405.840271,0.000376
406.319061,0.0005780000000000001
406.798981,0.000789
407.28009,0.000246
407.762268,0.000397
408.24560499999995,0.000595
408.730103,0.001309
409.21578999999997,0.000611
409.70257599999997,0.0005549999999999999
410.190582,0.000865
410.679688,0.000558
411.169983,0.000773
411.661469,0.00075
412.154053,0.000233
412.64794900000004,0.000669
413.142914,0.00048499999999999997
413.63916,0.000606
414.136536,0.000667
414.63510099999996,0.000553
415.134949,0.0005009999999999999
415.635925,0.000417
416.138153,0.000872
416.641571,0.00045999999999999996
417.14621,0.000383
417.652069,0.0004940000000000001
418.15918,0.000766
418.667511,0.000573
419.177094,0.000252
419.68786600000004,0.0005269999999999999
420.199951,0.00027
420.71328700000004,0.000773
421.22784400000006,0.0006190000000000001
421.74365199999994,0.00072
422.260712,0.000739
422.779114,0.000458
423.298676,0.000392
423.81967199999997,0.000796
424.341797,0.000672
424.865326,0.000549
425.39013700000004,0.00041
425.916138,0.000376
426.443604,0.000624
426.972229,0.000491
