eV,Counts
310.100037,0.0
310.37951699999996,0.0
310.659485,0.0
310.93994100000003,0.0
311.220917,0.0
311.50244100000003,0.0
311.784454,0.0
312.066925,0.0
312.34997599999997,0.0
312.633514,0.0
312.91754199999997,0.0
313.202148,0.0
313.487213,0.0
313.772858,0.0
314.05896,0.0
314.345612,0.0
314.632812,0.0
314.920502,0.0
315.20871,0.0
315.497467,0.0
315.78677400000004,0.0
316.07653799999997,0.0
316.366943,0.0
316.657806,0.0
316.94921899999997,0.0
317.24118,0.0
317.533661,0.0
317.82669100000004,0.0
318.1203,0.0
318.414398,0.0
318.709045,0.0
319.004272,0.0
319.300018,0.0
319.596344,0.0
319.893158,0.0
320.190582,0.0
320.488525,0.0
320.78704799999997,0.0
321.086151,0.0
321.385773,0.0
321.68597400000004,0.0
321.986694,0.0
322.288025,0.0
322.589905,0.0
322.892334,0.0
323.19534300000004,0.0
323.49893199999997,0.0
323.80310099999997,0.0
324.10778799999997,0.0
324.413116,0.0
324.718964,0.000472
325.025421,-0.000223
325.332428,-0.000309
325.64004500000004,0.000794
325.948273,1.4000000000000001e-05
326.257019,0.00014099999999999998
326.566376,0.0007740000000000001
326.876312,0.00011
327.18689,0.000516
327.49798599999997,0.000553
327.809753,0.000491
328.12203999999997,0.00040899999999999997
328.434937,-3.2e-05
328.748444,0.000779
329.06256099999996,0.000839
329.377289,0.000408
329.692596,0.000662
330.008514,0.000368
330.325012,0.00011999999999999999
330.64215099999996,0.000462
330.95986899999997,0.000357
331.278259,0.000539
331.597198,-0.000672
331.916779,-0.002971
332.236969,-0.004109000000000001
332.55777,0.000868
332.879242,0.000449
333.201263,0.000729
333.52398700000003,0.000898
333.847229,-0.00025499999999999996
334.171204,0.000452
334.495728,0.000551
334.820953,-0.000169
335.146759,0.00045
335.473206,6e-06
335.800323,-3.8e-05
336.128021,0.001145
336.45645099999996,0.000606
336.785461,0.0009570000000000001
337.115112,0.00048499999999999997
337.445404,0.000785
337.776367,0.00027
338.107971,0.000388
338.440247,0.000964
338.773163,0.000263
339.10672,0.000824
339.440918,0.000396
339.77578700000004,9.1e-05
340.11138900000003,0.000352
340.447571,0.000592
340.784454,0.000558
341.121979,0.0011619999999999998
341.460175,0.000606
341.799072,0.00123
342.138641,-2.9999999999999997e-05
342.478882,0.00011599999999999999
342.819733,0.001448
343.161346,0.000654
343.503601,0.000721
343.846588,0.000598
344.190216,0.000884
344.534515,0.000554
344.879547,0.001088
345.22522000000004,0.00103
345.571686,0.00020800000000000001
345.918762,3.3e-05
346.266541,0.000279
346.615021,0.000236
346.964203,0.0010400000000000001
347.314117,0.00041500000000000006
347.664764,0.0008150000000000001
348.016052,0.000218
348.368073,0.001363
348.720795,0.000549
349.074249,0.0007639999999999999
349.428467,0.0010710000000000001
349.783325,0.0008900000000000001
350.13894700000003,0.000591
350.49527,0.00018999999999999998
350.852325,0.000655
351.210144,0.0008939999999999999
351.568634,0.000941
351.927917,0.000834
352.287872,0.000598
352.648621,0.000974
353.01004,0.0008640000000000001
353.372284,0.000535
353.735229,0.000397
354.098907,0.000962
354.46337900000003,0.000301
354.828552,0.001041
355.19455,0.000795
355.56124900000003,0.000563
355.92868,0.000721
356.296906,0.000525
356.665863,0.0005
357.03564500000005,0.0010810000000000001
357.40618900000004,0.000575
357.777466,0.000544
358.14950600000003,0.000381
358.522339,0.000713
358.895935,0.0004980000000000001
359.270355,0.000742
359.645508,0.0007019999999999999
360.021454,0.000482
360.398224,0.000942
360.77572599999996,0.0008939999999999999
361.154083,0.001047
361.53320299999996,0.00093
361.913116,-1.6e-05
362.293823,0.000653
362.675323,0.0008550000000000001
363.057648,0.000607
363.44082599999996,0.0008550000000000001
363.82473799999997,0.000746
364.209503,0.0010279999999999998
364.595062,0.0016460000000000001
364.98141499999997,0.00085
365.36868300000003,0.0008029999999999999
365.756653,0.000825
366.145538,0.000641
366.53515600000003,0.000889
366.92569,0.001033
367.31701699999996,0.000944
367.709229,0.0010949999999999998
368.102264,0.001437
368.49609399999997,0.000484
368.890808,0.0010869999999999999
369.286316,0.001413
369.68277,0.0012029999999999999
370.079987,0.001062
370.478088,0.0011
370.877045,0.000874
371.276825,0.0010890000000000001
371.677551,0.000624
372.079102,-0.00023700000000000001
372.481506,0.0013859999999999999
372.884796,0.000771
373.28893999999997,0.001141
373.69397000000004,0.0017100000000000001
374.099945,0.001454
374.506714,0.001521
374.914429,0.000833
375.322998,0.000837
375.732452,0.001206
376.142792,0.0013050000000000002
376.554077,0.001161
376.966248,0.0013570000000000001
377.379272,0.00165
377.793274,0.001577
378.20813,0.002001
378.623962,0.0018149999999999998
379.04064900000003,0.0014529999999999999
379.458252,0.001437
379.876831,0.003281
380.296265,0.0012109999999999998
380.716675,0.000591
381.138031,0.0018170000000000003
381.560272,0.001439
381.983459,0.0022129999999999997
382.407593,0.001889
382.832703,0.001059
383.258759,0.0019100000000000002
383.685699,0.001917
384.113617,0.00183
384.542511,0.001807
384.972321,0.001544
385.403198,0.0014119999999999998
385.83493,0.001517
386.2677,0.0016350000000000002
386.701385,0.002268
387.136047,0.0017239999999999998
387.571747,0.001943
388.008331,0.001825
388.446045,0.001977
388.884613,0.002154
389.324249,0.001662
389.76483199999996,0.001498
390.206421,0.0014470000000000002
390.649048,0.00131
391.092651,0.002184
391.537292,0.001594
391.98291,0.002807
392.42956499999997,0.0019510000000000003
392.877228,0.001911
393.325928,0.002264
393.775635,0.001732
394.226379,0.001426
394.678162,0.002274
395.130981,0.0020559999999999997
395.584839,0.0018390000000000001
396.039734,0.003527
396.49566699999997,0.0018170000000000003
396.952667,0.0014609999999999998
397.410736,0.002251
397.869843,0.001945
398.330017,0.002325
398.79126,0.002457
399.25354,0.002629
399.716949,0.002232
400.181366,0.0013210000000000001
400.646973,0.001945
401.113525,0.002432
401.581268,0.0020050000000000003
402.050049,0.0028940000000000003
402.51995800000003,0.002874
402.990967,0.002117
403.463043,0.0032920000000000002
403.93624900000003,0.0023769999999999998
404.410553,0.002987
404.886017,0.002868
405.362549,0.003139
405.840271,0.0030039999999999997
406.319061,0.0024690000000000003
406.798981,0.002672
407.28009,0.002689
407.762268,0.002868
408.24560499999995,0.003023
408.730103,0.0026309999999999997
409.21578999999997,0.002548
409.70257599999997,0.003066
410.190582,0.0026579999999999998
410.679688,0.003046
411.169983,0.0027600000000000003
411.661469,0.002689
412.154053,0.0029230000000000003
412.64794900000004,0.003034
413.142914,0.002687
413.63916,0.002497
414.136536,0.002955
414.63510099999996,0.003211
415.134949,0.002904
415.635925,0.00302
416.138153,0.003304
416.641571,0.002431
417.14621,0.002903
417.652069,0.0032359999999999997
418.15918,0.0031309999999999997
418.667511,0.003703
419.177094,0.003625
419.68786600000004,0.003356
420.199951,0.003164
420.71328700000004,0.0037920000000000002
421.22784400000006,0.004444
421.74365199999994,0.00395
422.260712,0.003106
422.779114,0.00328
423.298676,0.003418
423.81967199999997,0.003573
424.341797,0.0027600000000000003
424.865326,0.0035280000000000003
425.39013700000004,0.00405
425.916138,0.0035549999999999996
426.443604,0.0034219999999999997
426.972229,0.0036149999999999997
427.502258,0.003948
