# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# 4U1735-444     ,    693490201,      264.737,       -44.45,      346.052,     -6.99024,      56383.3
# U1735-44       ,     90340201,      264.743,     -44.4499,      346.054,     -6.99377,      52155.1
#
# Total observation time: 105685.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          1277.397461,             9.706000,             0.086367
          1272.677002,             9.742000,             0.087429
          1267.991455,             9.778000,             0.086551
          1263.340088,             9.814000,             0.086117
          1258.722778,             9.850000,             0.086606
          1254.139160,             9.886000,             0.085879
          1249.588745,             9.922000,             0.082637
          1245.071289,             9.958000,             0.084990
          1240.586304,             9.994000,             0.085439
          1236.133545,            10.030000,             0.086991
          1231.712646,            10.066000,             0.084725
          1227.323242,            10.102000,             0.083084
          1222.965088,            10.138000,             0.080580
          1218.637695,            10.174000,             0.081341
          1214.340698,            10.210000,             0.082850
          1210.074097,            10.246000,             0.083258
          1205.837402,            10.282000,             0.081715
          1201.630127,            10.318000,             0.081422
          1197.452148,            10.354000,             0.079092
          1193.302979,            10.390000,             0.080439
          1189.182739,            10.426000,             0.079111
          1185.090820,            10.462000,             0.079365
          1181.026855,            10.498000,             0.078227
          1176.990601,            10.534000,             0.079601
          1172.982056,            10.570000,             0.073969
          1169.000610,            10.606000,             0.074571
          1165.046021,            10.642000,             0.072330
          1161.118164,            10.678000,             0.076217
          1157.216675,            10.714000,             0.076426
          1153.341309,            10.750000,             0.076856
          1149.491943,            10.786000,             0.075396
          1145.668091,            10.822000,             0.072880
          1141.869507,            10.858000,             0.074134
          1138.096069,            10.894000,             0.073028
          1134.347656,            10.930000,             0.073197
          1130.623779,            10.966000,             0.069302
          1126.924194,            11.002000,             0.070127
          1123.248657,            11.038000,             0.070488
          1119.597168,            11.074000,             0.070744
          1115.969360,            11.110000,             0.069500
          1112.364990,            11.146000,             0.068491
          1108.783691,            11.182000,             0.069106
          1105.225464,            11.218000,             0.069501
          1101.690063,            11.254000,             0.066662
          1098.177124,            11.290000,             0.065177
          1094.686523,            11.326000,             0.067106
          1091.218018,            11.362000,             0.065631
          1087.771484,            11.398000,             0.066497
          1084.346680,            11.434000,             0.067817
          1080.943359,            11.470000,             0.066110
          1077.561279,            11.506000,             0.061960
          1074.200317,            11.542000,             0.061931
          1070.860229,            11.578000,             0.063494
          1067.540771,            11.614000,             0.062277
          1064.242065,            11.650000,             0.064088
          1060.963623,            11.686000,             0.061916
          1057.705200,            11.722000,             0.063510
          1054.466675,            11.758000,             0.063152
          1051.248047,            11.794000,             0.061510
          1048.048950,            11.830000,             0.060776
          1044.869385,            11.866000,             0.062708
          1041.708862,            11.902000,             0.062793
          1038.567627,            11.938000,             0.058834
          1035.445068,            11.974000,             0.060795
          1032.341309,            12.010000,             0.060545
          1029.256104,            12.046000,             0.058697
          1026.189453,            12.082000,             0.058684
          1023.140808,            12.118000,             0.057899
          1020.110229,            12.154000,             0.057101
          1017.097595,            12.190000,             0.056226
          1014.102661,            12.226000,             0.056551
          1011.125427,            12.262000,             0.055983
          1008.165527,            12.298000,             0.053927
          1005.222961,            12.334000,             0.055581
          1002.297424,            12.370000,             0.054614
           999.389038,            12.406000,             0.053990
           996.497314,            12.442000,             0.054426
           993.622375,            12.478000,             0.053173
           990.763916,            12.514000,             0.055674
           987.921814,            12.550000,             0.052812
           985.096130,            12.586000,             0.052546
           982.286560,            12.622000,             0.053533
           979.492859,            12.658000,             0.051357
           976.714966,            12.694000,             0.050618
           973.952820,            12.730000,             0.049730
           971.206238,            12.766000,             0.051761
           968.475220,            12.802000,             0.050174
           965.759399,            12.838000,             0.048186
           963.058899,            12.874000,             0.049545
           960.373352,            12.910000,             0.047801
           957.702698,            12.946000,             0.048719
           955.046997,            12.982000,             0.048716
           952.405884,            13.018000,             0.047076
           949.779297,            13.054000,             0.018772
           947.167175,            13.090000,             0.000000
           944.569397,            13.126000,             0.027001
           941.985962,            13.162000,             0.046955
           939.416565,            13.198000,             0.046868
           936.861084,            13.234000,             0.048294
           934.319458,            13.270000,             0.045745
           931.791687,            13.306000,             0.045048
           929.277527,            13.342000,             0.045232
           926.776733,            13.378000,             0.044786
           924.289551,            13.414000,             0.041740
           921.815552,            13.450000,             0.042227
           919.354797,            13.486000,             0.042156
           916.907227,            13.522000,             0.043108
           914.472717,            13.558000,             0.044858
           912.050903,            13.594000,             0.041522
           909.641968,            13.630000,             0.041706
           907.245667,            13.666000,             0.041702
           904.862000,            13.702000,             0.042204
           902.490906,            13.738000,             0.041301
           900.132080,            13.774000,             0.040943
           897.785583,            13.810000,             0.040812
           895.451355,            13.846000,             0.040206
           893.129150,            13.882000,             0.040704
           890.819092,            13.918000,             0.041114
           888.520813,            13.954000,             0.039356
           886.234497,            13.990000,             0.038790
           883.959778,            14.026000,             0.039202
           881.696655,            14.062000,             0.039689
           879.445251,            14.098000,             0.040476
           877.205322,            14.134000,             0.039094
