# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# GRO J1655-40   ,    112460201,      253.501,     -39.8458,      344.982,      2.45567,      52151.1
# GRO J1655-40   ,    112460301,      253.501,     -39.8458,      344.982,      2.45567,        52151
# GRO J1655-40   ,    112921301,        253.5,     -39.8458,      344.982,      2.45629,      53428.3
# GRO J1655-40   ,    112921401,        253.5,     -39.8458,      344.982,      2.45629,      53443.7
# GRO J1655-40   ,    112921501,        253.5,     -39.8458,      344.982,      2.45629,      53444.7
# GRO J1655-40   ,    112921601,        253.5,     -39.8458,      344.982,      2.45629,      53445.7
# GRO J1655-40   ,    155762501,        253.5,     -39.8458,      344.982,      2.45629,      53447.7
# GRO J1655-40   ,    155762601,        253.5,     -39.8458,      344.982,      2.45629,      53456.4
# GRO J1655-40_1 ,    400890201,      253.501,     -39.8458,      344.982,      2.45595,      54185.6
# GRO J1655-40_2 ,    400890301,      253.501,     -39.8458,      344.982,      2.45595,      54153.7
#
# Total observation time: 368663.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          1379.748413,             8.986000,             1.479857
          1374.242920,             9.022000,             1.454453
          1368.781250,             9.058000,             1.438048
          1363.362549,             9.094000,             1.405472
          1357.986816,             9.130000,             1.488142
          1352.653198,             9.166000,             1.457945
          1347.361450,             9.202000,             1.463077
          1342.110840,             9.238000,             1.424447
          1336.900879,             9.274000,             1.417605
          1331.731445,             9.310000,             1.371753
          1326.601807,             9.346000,             1.361235
          1321.511230,             9.382000,             1.361535
          1316.459839,             9.418000,             1.353879
          1311.446899,             9.454000,             1.360014
          1306.472046,             9.490000,             1.358504
          1301.534790,             9.526000,             1.384624
          1296.634521,             9.562000,             1.368566
          1291.771240,             9.598000,             1.350657
          1286.944092,             9.634000,             1.344141
          1282.153076,             9.670000,             1.269841
          1277.397461,             9.706000,             1.296187
          1272.677002,             9.742000,             1.297596
          1267.991455,             9.778000,             1.296419
          1263.340088,             9.814000,             1.297879
          1258.722778,             9.850000,             1.273067
          1254.139160,             9.886000,             1.280187
          1249.588745,             9.922000,             1.244663
          1245.071289,             9.958000,             1.294686
          1240.586304,             9.994000,             1.275951
          1236.133545,            10.030000,             1.269348
          1231.712646,            10.066000,             1.198399
          1227.323242,            10.102000,             1.200956
          1222.965088,            10.138000,             1.158011
          1218.637695,            10.174000,             1.130592
          1214.340698,            10.210000,             1.149620
          1210.074097,            10.246000,             1.132561
          1205.837402,            10.282000,             1.145085
          1201.630127,            10.318000,             1.140434
          1197.452148,            10.354000,             1.116305
          1193.302979,            10.390000,             1.117528
          1189.182739,            10.426000,             1.103742
          1185.090820,            10.462000,             1.083321
          1181.026855,            10.498000,             1.063747
          1176.990601,            10.534000,             0.987270
          1172.982056,            10.570000,             0.950306
          1169.000610,            10.606000,             0.912145
          1165.046021,            10.642000,             0.904344
          1161.118164,            10.678000,             0.918949
          1157.216675,            10.714000,             0.908803
          1153.341309,            10.750000,             0.926546
          1149.491943,            10.786000,             0.917830
