# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# Swift J1753.5-0127,    311590901,      268.368,     -1.45258,       24.897,      12.1854,      53818.7
# SWIFT J1753.5-0127,    605610301,      268.368,      -1.4525,       24.897,      12.1855,        55103
# Swift J1753.5-0127,    744320201,      268.368,     -1.45172,      24.8977,       12.186,      56913.8
# Swift J1753.5-0127,    744320301,      268.368,     -1.45172,      24.8977,       12.186,      56913.7
# Swift J1753.5-0127,    770580201,      268.368,     -1.45172,      24.8977,       12.186,      57100.1
# SwiftJ1753.5-0127,    694930501,      268.368,     -1.45169,      24.8978,      12.1859,      56208.2
# SWIFT J1753.5-0127,    691740201,      268.368,     -1.45167,      24.8978,      12.1859,      56180.7
#
# Total observation time: 249417.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          1342.110840,             9.238000,             0.125185
          1336.900879,             9.274000,             0.126544
          1331.731445,             9.310000,             0.125984
          1326.601807,             9.346000,             0.122907
          1321.511230,             9.382000,             0.124023
          1316.459839,             9.418000,             0.127345
          1311.446899,             9.454000,             0.127618
          1306.472046,             9.490000,             0.130646
          1301.534790,             9.526000,             0.126160
          1296.634521,             9.562000,             0.127679
          1291.771240,             9.598000,             0.126975
          1286.944092,             9.634000,             0.124312
          1282.153076,             9.670000,             0.127512
          1277.397461,             9.706000,             0.127360
          1272.677002,             9.742000,             0.127867
          1267.991455,             9.778000,             0.128513
          1263.340088,             9.814000,             0.128894
          1258.722778,             9.850000,             0.133587
          1254.139160,             9.886000,             0.130221
          1249.588745,             9.922000,             0.126319
          1245.071289,             9.958000,             0.139390
          1240.586304,             9.994000,             0.139932
          1236.133545,            10.030000,             0.129562
          1231.712646,            10.066000,             0.127938
          1227.323242,            10.102000,             0.129609
          1222.965088,            10.138000,             0.125219
          1218.637695,            10.174000,             0.129435
          1214.340698,            10.210000,             0.130056
          1210.074097,            10.246000,             0.128660
          1205.837402,            10.282000,             0.129449
          1201.630127,            10.318000,             0.128149
          1197.452148,            10.354000,             0.130785
          1193.302979,            10.390000,             0.131129
          1189.182739,            10.426000,             0.131351
          1185.090820,            10.462000,             0.131588
          1181.026855,            10.498000,             0.128948
          1176.990601,            10.534000,             0.122304
          1172.982056,            10.570000,             0.123051
          1169.000610,            10.606000,             0.119256
          1165.046021,            10.642000,             0.120891
          1161.118164,            10.678000,             0.123334
          1157.216675,            10.714000,             0.124851
          1153.341309,            10.750000,             0.121095
          1149.491943,            10.786000,             0.121199
          1145.668091,            10.822000,             0.123488
          1141.869507,            10.858000,             0.119784
          1138.096069,            10.894000,             0.121990
          1134.347656,            10.930000,             0.122706
          1130.623779,            10.966000,             0.120415
          1126.924194,            11.002000,             0.123422
          1123.248657,            11.038000,             0.122306
          1119.597168,            11.074000,             0.122057
          1115.969360,            11.110000,             0.119271
          1112.364990,            11.146000,             0.121507
          1108.783691,            11.182000,             0.120836
          1105.225464,            11.218000,             0.122168
          1101.690063,            11.254000,             0.120695
          1098.177124,            11.290000,             0.123170
          1094.686523,            11.326000,             0.121108
          1091.218018,            11.362000,             0.125800
          1087.771484,            11.398000,             0.120664
          1084.346680,            11.434000,             0.121481
          1080.943359,            11.470000,             0.122103
          1077.561279,            11.506000,             0.119577
          1074.200317,            11.542000,             0.120849
          1070.860229,            11.578000,             0.122731
          1067.540771,            11.614000,             0.121712
          1064.242065,            11.650000,             0.119223
          1060.963623,            11.686000,             0.121218
          1057.705200,            11.722000,             0.122932
          1054.466675,            11.758000,             0.120436
          1051.248047,            11.794000,             0.120605
          1048.048950,            11.830000,             0.118860
          1044.869385,            11.866000,             0.117428
          1041.708862,            11.902000,             0.120901
          1038.567627,            11.938000,             0.119652
          1035.445068,            11.974000,             0.121414
          1032.341309,            12.010000,             0.122073
          1029.256104,            12.046000,             0.120079
          1026.189453,            12.082000,             0.115827
          1023.140808,            12.118000,             0.117804
          1020.110229,            12.154000,             0.120880
          1017.097595,            12.190000,             0.121376
          1014.102661,            12.226000,             0.117679
          1011.125427,            12.262000,             0.119520
          1008.165527,            12.298000,             0.118867
          1005.222961,            12.334000,             0.119031
          1002.297424,            12.370000,             0.118403
           999.389038,            12.406000,             0.118159
           996.497314,            12.442000,             0.117118
           993.622375,            12.478000,             0.117425
           990.763916,            12.514000,             0.118182
           987.921814,            12.550000,             0.116527
           985.096130,            12.586000,             0.117317
           982.286560,            12.622000,             0.118969
           979.492859,            12.658000,             0.114630
           976.714966,            12.694000,             0.116470
           973.952820,            12.730000,             0.116363
           971.206238,            12.766000,             0.114004
           968.475220,            12.802000,             0.114572
           965.759399,            12.838000,             0.118178
           963.058899,            12.874000,             0.116169
           960.373352,            12.910000,             0.113099
           957.702698,            12.946000,             0.113972
           955.046997,            12.982000,             0.114638
           952.405884,            13.018000,             0.114469
           949.779297,            13.054000,             0.000000
           947.167175,            13.090000,             0.000000
           944.569397,            13.126000,             0.121154
           941.985962,            13.162000,             0.118701
           939.416565,            13.198000,             0.114925
           936.861084,            13.234000,             0.117550
           934.319458,            13.270000,             0.119186
           931.791687,            13.306000,             0.116769
           929.277527,            13.342000,             0.115283
           926.776733,            13.378000,             0.113958
           924.289551,            13.414000,             0.114749
           921.815552,            13.450000,             0.113424
           919.354797,            13.486000,             0.116367
           916.907227,            13.522000,             0.114771
           914.472717,            13.558000,             0.115096
           912.050903,            13.594000,             0.113749
           909.641968,            13.630000,             0.116582
           907.245667,            13.666000,             0.113455
           904.862000,            13.702000,             0.114673
           902.490906,            13.738000,             0.120717
           900.132080,            13.774000,             0.118802
           897.785583,            13.810000,             0.118224
           895.451355,            13.846000,             0.119870
           893.129150,            13.882000,             0.119568
           890.819092,            13.918000,             0.117625
           888.520813,            13.954000,             0.118014
           886.234497,            13.990000,             0.117067
           883.959778,            14.026000,             0.118347
           881.696655,            14.062000,             0.118877
           879.445251,            14.098000,             0.116904
           877.205322,            14.134000,             0.119085
           874.976685,            14.170000,             0.117825
           872.759338,            14.206000,             0.117064
           870.553284,            14.242000,             0.117945
           868.358337,            14.278000,             0.119074
           866.174377,            14.314000,             0.123668
           864.001404,            14.350000,             0.127200
           861.839233,            14.386000,             0.127455
           859.687927,            14.422000,             0.124274
           857.547363,            14.458000,             0.123599
           855.417358,            14.494000,             0.123484
           853.298035,            14.530000,             0.124247
           851.189026,            14.566000,             0.123352
           849.090515,            14.602000,             0.121666
           847.002319,            14.638000,             0.127417
           844.924316,            14.674000,             0.127498
           842.856506,            14.710000,             0.126667
           840.798767,            14.746000,             0.127862
           838.751160,            14.782000,             0.127784
           836.713379,            14.818000,             0.126702
           834.685608,            14.854000,             0.127591
           832.667542,            14.890000,             0.125633
           830.659302,            14.926000,             0.116983
           828.660583,            14.962000,             0.124337
           826.671509,            14.998000,             0.124749
           824.691956,            15.034000,             0.125651
           822.721985,            15.070000,             0.124424
           820.761230,            15.106000,             0.124594
           818.809875,            15.142000,             0.121161
           816.867798,            15.178000,             0.122095
           814.934998,            15.214000,             0.116152
           813.011169,            15.250000,             0.115304
           811.096436,            15.286000,             0.117390
           809.190674,            15.322000,             0.118859
           807.293823,            15.358000,             0.118930
           805.406006,            15.394000,             0.120135
           803.526855,            15.430000,             0.119990
           801.656555,            15.466000,             0.118893
           799.794861,            15.502000,             0.118165
           797.941772,            15.538000,             0.118492
           796.097351,            15.574000,             0.118835
           794.261414,            15.610000,             0.116219
           792.433777,            15.646000,             0.117116
           790.614624,            15.682000,             0.117108
           788.803833,            15.718000,             0.115075
           787.001343,            15.754000,             0.114764
           785.207092,            15.790000,             0.114311
           783.420898,            15.826000,             0.107716
           781.642883,            15.862000,             0.112451
           779.872925,            15.898000,             0.113947
           778.110901,            15.934000,             0.111870
           776.356934,            15.970000,             0.113023
           774.610718,            16.006001,             0.109746
           772.872437,            16.042000,             0.109443
           771.141968,            16.077999,             0.108823
           769.419128,            16.114000,             0.109388
           767.704041,            16.150000,             0.108313
           765.996460,            16.186001,             0.109157
           764.296631,            16.222000,             0.109196
           762.604309,            16.257999,             0.108067
           760.919373,            16.294001,             0.108983
           759.241882,            16.330000,             0.107644
           757.571838,            16.365999,             0.107311
           755.908997,            16.402000,             0.108074
           754.253540,            16.438000,             0.109081
           752.605286,            16.474001,             0.105480
           750.964294,            16.510000,             0.103533
           749.330383,            16.546000,             0.103807
           747.703491,            16.582001,             0.101777
           746.083740,            16.618000,             0.102608
           744.470947,            16.653999,             0.105432
           742.865112,            16.690001,             0.102424
           741.266296,            16.726000,             0.102615
           739.674316,            16.761999,             0.104340
           738.088989,            16.798000,             0.101786
           736.510620,            16.834000,             0.100393
           734.938904,            16.870001,             0.101030
           733.373962,            16.906000,             0.101442
           731.815613,            16.941999,             0.100480
           730.263855,            16.978001,             0.100337
           728.718628,            17.014000,             0.100077
           727.180054,            17.049999,             0.098261
           725.647888,            17.086000,             0.091729
           724.122192,            17.122000,             0.090687
           722.602783,            17.158001,             0.092063
           721.089905,            17.194000,             0.093799
           719.583313,            17.230000,             0.095594
           718.082947,            17.266001,             0.097568
           716.588806,            17.302000,             0.098159
           715.100952,            17.337999,             0.096414
           713.619141,            17.374001,             0.094283
           712.143555,            17.410000,             0.087746
           710.674072,            17.445999,             0.087995
           709.210571,            17.482000,             0.085261
           707.753174,            17.518000,             0.090479
           706.301636,            17.554001,             0.093474
           704.856140,            17.590000,             0.103814
           703.416504,            17.625999,             0.104986
           701.982727,            17.662001,             0.103536
           700.554810,            17.698000,             0.103172
           699.132751,            17.733999,             0.099560
           697.716309,            17.770000,             0.100922
           696.305725,            17.806000,             0.098412
           694.900818,            17.841999,             0.099069
           693.501526,            17.878000,             0.095988
           692.107849,            17.914000,             0.097688
           690.719727,            17.950001,             0.100000
           689.337219,            17.986000,             0.097625
           687.960266,            18.021999,             0.095415
           686.588745,            18.058001,             0.095478
           685.222717,            18.094000,             0.097232
           683.862122,            18.129999,             0.097002
           682.506897,            18.166000,             0.092329
           681.157043,            18.202000,             0.091976
           679.812439,            18.238001,             0.092327
           678.473206,            18.274000,             0.091148
           677.139221,            18.309999,             0.090165
           675.810486,            18.346001,             0.091935
           674.487000,            18.382000,             0.089434
           673.168640,            18.417999,             0.088237
           671.855408,            18.454000,             0.089459
           670.547302,            18.490000,             0.089954
           669.244324,            18.525999,             0.087635
           667.946350,            18.562000,             0.086107
           666.653381,            18.598000,             0.085139
           665.365356,            18.634001,             0.079813
           664.082458,            18.670000,             0.075952
           662.804443,            18.705999,             0.080911
           661.531311,            18.742001,             0.083961
           660.263062,            18.778000,             0.083136
           658.999695,            18.813999,             0.083076
           657.741089,            18.850000,             0.083917
           656.487366,            18.886000,             0.082850
           655.238342,            18.922001,             0.076566
           653.994080,            18.958000,             0.076619
           652.754578,            18.993999,             0.079096
           651.519653,            19.030001,             0.077876
           650.289490,            19.066000,             0.077497
           649.063965,            19.101999,             0.077366
           647.843018,            19.138000,             0.076646
           646.626709,            19.174000,             0.076018
           645.414856,            19.209999,             0.072400
           644.207581,            19.246000,             0.072957
           643.004822,            19.282000,             0.071672
           641.806519,            19.318001,             0.073610
           640.612793,            19.354000,             0.072493
           639.423401,            19.389999,             0.070474
           638.238403,            19.426001,             0.071159
           637.057800,            19.462000,             0.070240
           635.881653,            19.497999,             0.068246
           634.709717,            19.534000,             0.069712
           633.542114,            19.570000,             0.068774
           632.378845,            19.606001,             0.069431
           631.219788,            19.642000,             0.066745
           630.065002,            19.677999,             0.064833
           628.914429,            19.714001,             0.068464
           627.768066,            19.750000,             0.066882
           626.625916,            19.785999,             0.066336
           625.487854,            19.822001,             0.063660
           624.353882,            19.858000,             0.063977
           623.224121,            19.893999,             0.062132
           622.098267,            19.930000,             0.062844
           620.976624,            19.966000,             0.062908
           619.859009,            20.002001,             0.063743
           618.745361,            20.038000,             0.064218
           617.635803,            20.073999,             0.065212
           616.530029,            20.110001,             0.063787
           615.428345,            20.146000,             0.063400
           614.330627,            20.181999,             0.061969
           613.236694,            20.218000,             0.064762
           612.146729,            20.254000,             0.063425
           611.060547,            20.290001,             0.063797
           609.978333,            20.326000,             0.060539
           608.899902,            20.362000,             0.059259
           607.825256,            20.398001,             0.059026
           606.754456,            20.434000,             0.058840
           605.687378,            20.469999,             0.058384
           604.623962,            20.506001,             0.058615
           603.564392,            20.542000,             0.057114
           602.508484,            20.577999,             0.057499
           601.456238,            20.614000,             0.054904
           600.407776,            20.650000,             0.054930
           599.362793,            20.686001,             0.056211
           598.321533,            20.722000,             0.055237
           597.283936,            20.757999,             0.000000
           596.249878,            20.794001,             0.000000
           595.219421,            20.830000,             0.056438
           594.192444,            20.865999,             0.053663
           593.169006,            20.902000,             0.051282
           592.149170,            20.938000,             0.051604
           591.132812,            20.974001,             0.051812
           590.119934,            21.010000,             0.053140
           589.110535,            21.046000,             0.051222
           588.104492,            21.082001,             0.050696
           587.101990,            21.118000,             0.050817
           586.102844,            21.153999,             0.050712
           585.107117,            21.190001,             0.051694
           584.114746,            21.226000,             0.049150
           583.125793,            21.261999,             0.047203
           582.140076,            21.298000,             0.048289
           581.157776,            21.334000,             0.049469
           580.178711,            21.370001,             0.047194
           579.203003,            21.406000,             0.045432
           578.230591,            21.441999,             0.043852
           577.261353,            21.478001,             0.044834
           576.295410,            21.514000,             0.044711
           575.332703,            21.549999,             0.041468
           574.373169,            21.586000,             0.038207
           573.416870,            21.622000,             0.038571
           572.463745,            21.658001,             0.042948
           571.513733,            21.694000,             0.042058
           570.566956,            21.730000,             0.042607
           569.623291,            21.766001,             0.042171
           568.682678,            21.802000,             0.043397
           567.745239,            21.837999,             0.040386
           566.810791,            21.874001,             0.043679
           565.879517,            21.910000,             0.042479
           564.951233,            21.945999,             0.041720
           564.026001,            21.982000,             0.040942
           563.103882,            22.018000,             0.037175
           562.184570,            22.054001,             0.037154
           561.268433,            22.090000,             0.039311
           560.355225,            22.125999,             0.040427
           559.444946,            22.162001,             0.038446
           558.537720,            22.198000,             0.038572
           557.633362,            22.233999,             0.037413
           556.731873,            22.270000,             0.034756
           555.833374,            22.306000,             0.036259
           554.937805,            22.341999,             0.033639
           554.045044,            22.378000,             0.034210
           553.155151,            22.414000,             0.035120
           552.268127,            22.450001,             0.035911
           551.383972,            22.486000,             0.032244
           550.502625,            22.521999,             0.034120
           549.624084,            22.558001,             0.033672
           548.748291,            22.594000,             0.032652
           547.875427,            22.629999,             0.033660
           547.005127,            22.666000,             0.030725
           546.137817,            22.702000,             0.030676
           545.273132,            22.738001,             0.034960
           544.411133,            22.774000,             0.036501
           543.551941,            22.809999,             0.042515
           542.695374,            22.846001,             0.044177
           541.841614,            22.882000,             0.043099
           540.990479,            22.917999,             0.048795
           540.141968,            22.954000,             0.057865
           539.296204,            22.990000,             0.058223
           538.453064,            23.025999,             0.060254
           537.612488,            23.062000,             0.059857
           536.774597,            23.098000,             0.061169
           535.939270,            23.134001,             0.064585
           535.106567,            23.170000,             0.069558
           534.276428,            23.205999,             0.071225
           533.448914,            23.242001,             0.070792
           532.623901,            23.278000,             0.068895
           531.801514,            23.313999,             0.062150
           530.981567,            23.350000,             0.056223
           530.164185,            23.386000,             0.057073
           529.349304,            23.422001,             0.062293
           528.536926,            23.458000,             0.051915
           527.727051,            23.493999,             0.031921
           526.919678,            23.530001,             0.037611
