# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii,         time
# CYGNUS X-1     ,    202400501,      299.584,      35.0177,      71.1751,      2.97539,      53104.6
# CYGNUS X-1     ,    202400701,      299.584,      35.0177,      71.1751,      2.97539,      53142.5
# CYGNUS X-1     ,    202760201,       299.59,      35.2016,       71.335,       3.0668,      53323.9
# CYGNUS X-1     ,    202760301,       299.59,      35.2016,       71.335,       3.0668,      53329.9
# CYGNUS X-1     ,    202760401,       299.59,      35.2016,       71.335,       3.0668,      53335.9
# CYGNUS X-1     ,    202760501,       299.59,      35.2016,       71.335,       3.0668,      53341.9
# Cyg X-1        ,    605610401,       299.59,      35.2016,       71.335,       3.0668,      55167.2
# Cyg X-1        ,    745250701,       299.59,      35.2016,      71.3349,       3.0669,      57541.9
# CYGNUS X-1     ,    202401101,       299.59,      35.2016,       71.335,      3.06681,        53284
# CYGNUS X-1     ,    202401201,       299.59,      35.2016,       71.335,      3.06681,        53286
# Cyg X-1        ,    745250201,       299.59,      35.2016,      71.3349,      3.06692,      57535.9
# Cyg X-1        ,    745250501,       299.59,      35.2016,      71.3349,      3.06692,      57537.9
# Cyg X-1        ,    745250601,       299.59,      35.2016,      71.3349,      3.06692,      57539.9
#
# Total observation time: 677230.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A)
          1413.730713,             8.770000,             2.208982
          1407.951416,             8.806000,             2.225936
          1402.218994,             8.842000,             2.158621
          1396.532959,             8.878000,             2.202050
          1390.892944,             8.914000,             2.177191
          1385.298340,             8.950000,             2.111560
          1379.748413,             8.986000,             2.084479
          1374.242920,             9.022000,             2.123587
          1368.781250,             9.058000,             2.108503
          1363.362549,             9.094000,             2.071273
          1357.986816,             9.130000,             2.165893
          1352.653198,             9.166000,             2.061401
          1347.361450,             9.202000,             2.054186
          1342.110840,             9.238000,             2.081129
          1336.900879,             9.274000,             2.156632
          1331.731445,             9.310000,             2.098823
          1326.601807,             9.346000,             2.065951
          1321.511230,             9.382000,             2.060596
          1316.459839,             9.418000,             2.060397
          1311.446899,             9.454000,             2.028355
          1306.472046,             9.490000,             2.002805
          1301.534790,             9.526000,             2.051205
          1296.634521,             9.562000,             2.086005
          1291.771240,             9.598000,             2.069165
          1286.944092,             9.634000,             1.998888
          1282.153076,             9.670000,             1.959841
          1277.397461,             9.706000,             2.048966
          1272.677002,             9.742000,             2.035173
          1267.991455,             9.778000,             2.063312
          1263.340088,             9.814000,             2.069401
          1258.722778,             9.850000,             2.056027
          1254.139160,             9.886000,             2.058479
          1249.588745,             9.922000,             1.981045
          1245.071289,             9.958000,             2.131933
          1240.586304,             9.994000,             2.089379
          1236.133545,            10.030000,             2.008857
          1231.712646,            10.066000,             1.983535
          1227.323242,            10.102000,             1.950581
          1222.965088,            10.138000,             1.891182
          1218.637695,            10.174000,             1.966198
          1214.340698,            10.210000,             1.979013
          1210.074097,            10.246000,             1.987089
          1205.837402,            10.282000,             1.979629
          1201.630127,            10.318000,             1.988066
          1197.452148,            10.354000,             1.975748
          1193.302979,            10.390000,             1.972534
          1189.182739,            10.426000,             1.940638
          1185.090820,            10.462000,             1.927810
          1181.026855,            10.498000,             1.915173
          1176.990601,            10.534000,             1.870854
          1172.982056,            10.570000,             1.777342
          1169.000610,            10.606000,             1.790531
          1165.046021,            10.642000,             1.716753
          1161.118164,            10.678000,             1.764610
          1157.216675,            10.714000,             1.754638
          1153.341309,            10.750000,             1.782383
          1149.491943,            10.786000,             1.753147
          1145.668091,            10.822000,             1.716204
          1141.869507,            10.858000,             1.748134
          1138.096069,            10.894000,             1.697185
          1134.347656,            10.930000,             1.723708
          1130.623779,            10.966000,             1.683631
          1126.924194,            11.002000,             1.656104
          1123.248657,            11.038000,             1.696904
          1119.597168,            11.074000,             1.679794
          1115.969360,            11.110000,             1.663140
          1112.364990,            11.146000,             1.631581
          1108.783691,            11.182000,             1.713315
          1105.225464,            11.218000,             1.639202
          1101.690063,            11.254000,             1.621254
          1098.177124,            11.290000,             1.597045
          1094.686523,            11.326000,             1.586603
          1091.218018,            11.362000,             1.546714
          1087.771484,            11.398000,             1.564322
          1084.346680,            11.434000,             1.516851
          1080.943359,            11.470000,             1.563956
          1077.561279,            11.506000,             1.534384
          1074.200317,            11.542000,             1.512950
          1070.860229,            11.578000,             1.516962
          1067.540771,            11.614000,             1.541396
          1064.242065,            11.650000,             1.494669
          1060.963623,            11.686000,             1.491811
          1057.705200,            11.722000,             1.436875
          1054.466675,            11.758000,             1.440711
          1051.248047,            11.794000,             1.447202
          1048.048950,            11.830000,             1.430618
          1044.869385,            11.866000,             1.454254
          1041.708862,            11.902000,             1.404382
          1038.567627,            11.938000,             1.404346
          1035.445068,            11.974000,             1.353159
          1032.341309,            12.010000,             1.349993
          1029.256104,            12.046000,             1.369449
          1026.189453,            12.082000,             1.366534
          1023.140808,            12.118000,             1.357266
          1020.110229,            12.154000,             1.331668
          1017.097595,            12.190000,             1.321630
          1014.102661,            12.226000,             1.308068
          1011.125427,            12.262000,             1.228416
          1008.165527,            12.298000,             1.241132
          1005.222961,            12.334000,             1.253722
          1002.297424,            12.370000,             1.274650
           999.389038,            12.406000,             1.225774
           996.497314,            12.442000,             1.259964
           993.622375,            12.478000,             1.201629
           990.763916,            12.514000,             1.223363
           987.921814,            12.550000,             1.179995
           985.096130,            12.586000,             1.187756
           982.286560,            12.622000,             1.190768
           979.492859,            12.658000,             1.145799
           976.714966,            12.694000,             1.151748
           973.952820,            12.730000,             1.124524
           971.206238,            12.766000,             1.100790
           968.475220,            12.802000,             1.067072
           965.759399,            12.838000,             1.041230
           963.058899,            12.874000,             1.037606
           960.373352,            12.910000,             1.030276
           957.702698,            12.946000,             1.015602
           955.046997,            12.982000,             0.988057
           952.405884,            13.018000,             1.014785
           949.779297,            13.054000,             0.000000
           947.167175,            13.090000,             0.111163
           944.569397,            13.126000,             0.909918
           941.985962,            13.162000,             0.904266
           939.416565,            13.198000,             0.899593
           936.861084,            13.234000,             0.909120
           934.319458,            13.270000,             0.908043
