,index,Fluor_654,Fluor_685,Fluor_755,Fluor_771,mean,mode,mean/mode,stdev,stdevdiff,edgejump,hardedge,obsid,pno,name,ra,dec,lii,bii,time,end_time,duration,scheduled_duration,estimated_exposure,pi_title,pi_fname,pi_lname,sas_version,pps_flag,pps_version,odf_date,process_date,distribution_date,public_date,xmm_revolution,process_status,mos1_num,mos1_time,mos1_mode,mos2_num,mos2_time,mos2_mode,pn_num,pn_time,pn_mode,rgs1_num,rgs1_time,rgs1_mode,rgs2_num,rgs2_time,rgs2_mode,om_num,om_time,om_mode,data_in_heasarc,subject_category,status,class,lii_180
15,2145,False,False,False,False,0.04065588558768178,0.022247489541769028,1.8274370018851571,0.011341597845381156,0.00350283506673888,0.012380394239408204,0.005980114490933865,111360201,11136.0,GX 339-4,255.69165,-48.79361,338.93039845,-4.32142525,52536.33315972221,52536.45924768518,10894.0,8998.0,7676.0,Dr,Bernd,Aschenbach,17.56,Y,17.56_20190403_1200,55513.20371527777,58576.518530092595,52584.0,52949.0,509.0,delivered,1.0,10409.0,FU-TN (1),1.0,10424.0,FU-TN (1),1.0,6424.0,FMK-TN (1),1.0,10886.0,SES (1),1.0,10894.0,SES (1),1.0,1800.0,IM-W2 (1),Y,"Supernovae, Supernova Remnants, Diffuse (Galactic) Emission and Isolated Neutron Stars",archived,3900.0,-21.069601550000016
16,2151,False,False,False,False,0.012890782401702562,0.007240030448883772,1.780487318763969,0.003380821213337179,0.0005882092217844823,0.0036158443936772228,0.003225111579516637,148220201,14822.0,GX 339-4,255.7062,-48.78972,338.93933882,-4.32667298,52706.743171296286,52706.980439814804,20500.0,19226.0,19226.0,Dr,Michael,Nowak,17.56,Y,17.56_20190403_1200,55503.051053240735,58577.61119212963,53046.0,53412.0,594.0,delivered,1.0,20012.0,FU-ME (1),1.0,3577.0,FU-ME (1),1.0,19251.0,TI-ME (1),1.0,20464.0,SES (1),1.0,20463.0,SES (1),2.0,10000.0,IM-V (1); IM-W1 (1),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,1430.0,-21.06066118000001
17,2152,False,False,False,False,0.058101028797554445,0.031052561476826668,1.8710543038748353,0.01663641237430138,0.002972943398435085,0.021839497426080934,0.012587984637328097,156760101,15676.0,GX 339-3,255.7062,-48.78972,338.93933882,-4.32667298,52546.37275462962,52547.25630787037,76339.0,75183.0,75183.0,Prof,Walter,Lewin,17.56,Y,17.56_20190403_1200,55510.87659722224,58576.515289351846,54508.0,53735.0,514.0,delivered,1.0,76001.0,SW RFS-TN (1),1.0,74048.0,FU-TN (1),1.0,75601.0,BU-TN (1),32.0,74145.0,SES (32),32.0,74136.0,SES (32),0.0,,,Y,,archived,1430.0,-21.06066118000001
18,2153,False,False,False,False,0.003004462201056163,0.0018316234927624464,1.6403273996692662,0.0008149487286310297,0.0001443324914137606,0.0009634968810060176,0.0007969536605356782,204730201,20473.0,GX 339-4,255.7062,-48.78972,338.93933882,-4.32667298,53080.65306712962,53082.24922453704,137908.0,134377.0,131609.0,Dr,JON,MILLER,17.56,Y,17.56_20190403_1200,55486.86657407408,58576.52662037037,53361.0,53726.0,782.0,delivered,1.0,112726.0,FF-ME (1),1.0,112670.0,FF-ME (1),1.0,131647.0,TI-ME (1),1.0,134241.0,SES (1),1.0,133962.0,SES (1),28.0,111392.0,IF-V (28),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,1430.0,-21.06066118000001
19,2154,False,False,False,False,0.002837836344542166,0.0016488657565787435,1.721083922823672,0.0007573991967412581,0.0001447006645775407,0.001018020131903677,0.0007152448922376565,204730301,20473.0,GX 339-4,255.7062,-48.78972,338.93933882,-4.32667298,53082.63813657408,53084.240914351845,138480.0,134377.0,128310.0,Dr,JON,MILLER,17.56,Y,17.56_20190403_1200,55484.50797453704,58576.52712962962,53257.0,53726.0,783.0,delivered,1.0,114067.0,FF-ME (1),1.0,114016.0,FF-ME (1),2.0,128385.0,TI-ME (2),1.0,135622.0,SES (1),1.0,135611.0,SES (1),26.0,107487.0,IF-V (26),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,1430.0,-21.06066118000001
20,2156,False,False,False,False,0.04454782625639832,0.021425358951091766,2.079210264718963,0.013783993608919106,0.0035093661676594383,0.01583240666116259,0.011910285846234252,410581301,41058.0,GX 339-4,255.7062,-48.78972,338.93933882,-4.32667298,54164.48149305556,54164.674803240734,16702.0,15586.0,10091.0,Dr,NORBERT,SCHARTEL (PS),17.56,Y,17.56_20190403_1200,55437.26365740741,58578.086331018516,54188.0,54164.0,1325.0,delivered,0.0,,,0.0,,,1.0,16007.0,BU-TN (1),12.0,15980.0,SES (12),13.0,15878.0,SES (13),7.0,14238.0,IM-U (1); IF-U (6),Y,,archived,9999.0,-21.06066118000001
21,2157,False,False,False,False,0.029329522871054135,0.015511231496930122,1.8908571428940917,0.008875551522595539,0.002418639358158333,0.008735663122942883,0.008575074802970959,410581701,41058.0,GX 339-4,255.7062,-48.78972,338.93933882,-4.32667298,54189.62577546296,54189.83751157407,18294.0,17786.0,8653.0,Dr,NORBERT,SCHARTEL (PS),17.56,Y,17.56_20190403_1200,55433.78460648149,58579.774502314816,54369.0,54199.0,1338.0,delivered,0.0,,,0.0,,,1.0,8658.0,BU-TN (1),7.0,10849.0,SES (7),7.0,9738.0,SES (7),7.0,14639.0,IF-U (7),Y,,archived,9999.0,-21.06066118000001
22,2159,False,False,False,False,0.010192703041196852,0.0059270113706588745,1.7197036421517415,0.0028182229799205137,0.00048675584123137347,0.003684673022119625,0.0022060187549636998,654130401,65413.0,GX 339-4,255.7062,-48.78972,338.93933882,-4.32667298,55283.04339120369,55283.44776620369,34938.0,33636.0,33636.0,Dr,Phil,Uttley,17.56,Y,17.56_20190403_1200,55357.75391203704,58579.19354166666,55306.0,55671.0,1886.0,delivered,0.0,,,0.0,,,1.0,33656.0,TI-TK (1),1.0,34932.0,SES (1),1.0,34906.0,SES (1),8.0,24797.0,IF-V (3); IF-U (5),Y,,archived,9999.0,-21.06066118000001
23,2163,False,False,False,False,0.003793495185263864,0.002285533118993044,1.6597856988986428,0.0008825132382974112,0.00036127006152446257,0.0008107366620620712,0.0011319799182874799,760646201,76064.0,GX 339-4,255.7056,-48.78966,338.9391457,-4.32632259,57262.73682870369,57262.968310185184,20000.0,14933.0,14933.0,Dr,pierre-olivier,petrucci,17.56,Y,17.56_20190403_1200,57270.715625,58580.6069212963,57281.0,57681.0,2879.0,delivered,1.0,18474.0,FU-TN (1),1.0,18363.0,FU-TN (1),1.0,14941.0,TI-TN (1),1.0,18919.0,SES (1),1.0,18914.0,SES (1),5.0,15199.0,IF-W1 (5),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,9999.0,-21.060854300000017
24,2164,False,False,False,False,0.0019713967954125867,0.0010709782363846898,1.840744030492578,0.0005270748600658952,0.0002557530206565149,0.0007910892034912933,0.000464350156325032,760646301,76064.0,GX 339-4,255.7056,-48.78966,338.9391457,-4.32632259,57267.61681712963,57267.83903935184,19200.0,15933.0,15933.0,Dr,pierre-olivier,petrucci,17.56,Y,17.56_20190403_1200,57274.403877314806,58580.67118055555,57287.0,57681.0,2881.0,delivered,1.0,17684.0,FU-TN (1),1.0,17562.0,FU-TN (1),1.0,15943.0,TI-TN (1),1.0,18118.0,SES (1),1.0,18112.0,SES (1),5.0,16197.0,IF-W1 (5),Y,"White Dwarf Binaries, Neutron Star Binaries, Cataclysmic Variables, ULXs and Black Holes",archived,9999.0,-21.060854300000017
