# Sum spectrum combining XMM spectra:
# Source Name    ,        obsid,           ra,          dec,          lii,          bii, start time mjd,   end time mjd
# CYGNUS X-1     ,    202760201,       299.59,      35.2016,       71.335,       3.0668,   53323.920787,   53324.139699
# CYGNUS X-1     ,    202760301,       299.59,      35.2016,       71.335,       3.0668,   53329.905278,   53330.124144
# CYGNUS X-1     ,    202760401,       299.59,      35.2016,       71.335,       3.0668,   53335.889687,   53336.135162
# CYGNUS X-1     ,    202760501,       299.59,      35.2016,       71.335,       3.0668,   53341.874225,   53342.004028
# Cyg X-1        ,    605610401,       299.59,      35.2016,       71.335,       3.0668,   55167.155752,   55167.537014
# Cyg X-1        ,    745250701,       299.59,      35.2016,      71.3349,       3.0669,   57541.912604,   57543.482049
# CYGNUS X-1     ,    202401101,       299.59,      35.2016,       71.335,      3.06681,   53284.035451,   53284.246343
# CYGNUS X-1     ,    202401201,       299.59,      35.2016,       71.335,      3.06681,   53286.029919,   53286.241019
# Cygnus X-1     ,    500880201,       299.59,      35.2016,       71.335,      3.06681,   54574.496273,   54575.184213
# Cygnus X-1     ,    610000401,       299.59,      35.2016,       71.335,      3.06681,   54967.981169,   54968.269838
# Cyg X-1        ,    745250201,       299.59,      35.2016,      71.3349,      3.06692,   57535.930486,   57537.624931
# Cyg X-1        ,    745250501,       299.59,      35.2016,      71.3349,      3.06692,   57537.924792,   57539.600718
# Cyg X-1        ,    745250601,       299.59,      35.2016,      71.3349,      3.06692,   57539.916574,   57541.599456
#
Total observation time: 761607.0 seconds
#
#                  eV,             Angstrom, flux in 1/(s cm^2 A), error in 1/(s cm^2 A)
          1806.822998,             6.862000,             3.204314,              0.000000
          1797.393555,             6.898000,             3.167926,              0.000000
          1788.061523,             6.934000,             3.160586,              0.000000
          1778.826294,             6.970000,             3.150974,              0.000000
          1769.685913,             7.006000,             3.093006,              0.000000
          1760.639038,             7.042000,             2.913954,              0.000000
          1751.684204,             7.078000,             3.084822,              0.000000
          1742.819702,             7.114000,             3.068528,              0.000000
          1734.044556,             7.150000,             3.148459,              0.000000
          1725.357666,             7.186000,             3.137208,              0.000000
          1716.757080,             7.222000,             2.888564,              0.000000
          1708.241943,             7.258000,             2.930081,              0.000000
          1699.810669,             7.294000,             2.943494,              0.000000
          1691.462402,             7.330000,             2.989018,              0.000000
          1683.195679,             7.366000,             2.877005,              0.000000
          1675.009521,             7.402000,             2.826528,              0.000000
          1666.902344,             7.438000,             2.796894,              0.000000
          1658.873413,             7.474000,             2.777897,              0.000000
          1650.921265,             7.510000,             2.795685,              0.000000
          1643.045410,             7.546000,             2.734607,              0.000000
          1635.243896,             7.582000,             2.735652,              0.000000
          1627.516235,             7.618000,             2.495562,              0.000000
          1619.861572,             7.654000,             2.418890,              0.000000
          1612.278198,             7.690000,             2.027155,              0.000000
          1604.765747,             7.726000,             2.569139,              0.000000
          1597.322754,             7.762000,             2.753018,              0.000000
          1589.948608,             7.798000,             2.631987,              0.000000
          1582.642334,             7.834000,             2.657876,              0.000000
          1575.402832,             7.870000,             2.656729,              0.000000
          1568.229126,             7.906000,             2.578361,              0.000000
          1561.120605,             7.942000,             2.614526,              0.000000
          1554.076050,             7.978000,             2.596021,              0.000000
          1547.095093,             8.014000,             2.640561,              0.000000
          1540.176392,             8.050000,             2.657284,              0.000000
          1533.319214,             8.086000,             2.642483,              0.000000
          1526.523071,             8.122000,             2.585699,              0.000000
          1519.786621,             8.158000,             2.531278,              0.000000
          1513.109619,             8.194000,             2.601801,              0.000000
          1506.490845,             8.230000,             2.556610,              0.000000
          1499.929810,             8.266000,             2.541458,              0.000000
          1493.425659,             8.302000,             2.505583,              0.000000
          1486.977539,             8.338000,             2.575175,              0.000000
          1480.585205,             8.374000,             2.482491,              0.000000
          1474.247314,             8.410000,             2.454205,              0.000000
          1467.963379,             8.446000,             2.473408,              0.000000
          1461.733032,             8.482000,             2.465622,              0.000000
          1455.555420,             8.518000,             2.542379,              0.000000
          1449.429443,             8.554000,             2.518949,              0.000000
          1443.354980,             8.590000,             2.404165,              0.000000
          1437.331299,             8.626000,             2.460863,              0.000000
          1431.357788,             8.662000,             2.394380,              0.000000
          1425.433472,             8.698000,             2.410566,              0.000000
          1419.557983,             8.734000,             2.385202,              0.000000
          1413.730713,             8.770000,             2.381313,              0.000000
          1407.951416,             8.806000,             2.394194,              0.000000
          1402.218994,             8.842000,             2.322827,              0.000000
          1396.532959,             8.878000,             2.365908,              0.000000
          1390.892944,             8.914000,             2.339238,              0.000000
          1385.298340,             8.950000,             2.271168,              0.000000
          1379.748413,             8.986000,             2.246499,              0.000000
          1374.242920,             9.022000,             2.286081,              0.000000
          1368.781250,             9.058000,             2.267573,              0.000000
          1363.362549,             9.094000,             2.234081,              0.000000
          1357.986816,             9.130000,             2.326140,              0.000000
          1352.653198,             9.166000,             2.217940,              0.000000
          1347.361450,             9.202000,             2.213504,              0.000000
          1342.110840,             9.238000,             2.236828,              0.000000
          1336.900879,             9.274000,             2.312829,              0.000000
          1331.731445,             9.310000,             2.254091,              0.000000
          1326.601807,             9.346000,             2.218919,              0.000000
          1321.511230,             9.382000,             2.209217,              0.000000
          1316.459839,             9.418000,             2.207736,              0.000000
          1311.446899,             9.454000,             2.178230,              0.000000
          1306.472046,             9.490000,             2.153367,              0.000000
          1301.534790,             9.526000,             2.206403,              0.000000
          1296.634521,             9.562000,             2.242609,              0.000000
          1291.771240,             9.598000,             2.220282,              0.000000
          1286.944092,             9.634000,             2.143412,              0.000000
          1282.153076,             9.670000,             2.111690,              0.000000
          1277.397461,             9.706000,             2.197672,              0.000000
          1272.677002,             9.742000,             2.185017,              0.000000
          1267.991455,             9.778000,             2.211304,              0.000000
          1263.340088,             9.814000,             2.220168,              0.000000
          1258.722778,             9.850000,             2.205506,              0.000000
          1254.139160,             9.886000,             2.207806,              0.000000
          1249.588745,             9.922000,             2.126398,              0.000000
          1245.071289,             9.958000,             2.279909,              0.000000
          1240.586304,             9.994000,             2.235080,              0.000000
          1236.133545,            10.030000,             2.149131,              0.000000
          1231.712646,            10.066000,             2.121447,              0.000000
          1227.323242,            10.102000,             2.089576,              0.000000
          1222.965088,            10.138000,             2.028802,              0.000000
          1218.637695,            10.174000,             2.101621,              0.000000
          1214.340698,            10.210000,             2.115967,              0.000000
          1210.074097,            10.246000,             2.125844,              0.000000
          1205.837402,            10.282000,             2.120034,              0.000000
          1201.630127,            10.318000,             2.127122,              0.000000
          1197.452148,            10.354000,             2.111718,              0.000000
          1193.302979,            10.390000,             2.111345,              0.000000
          1189.182739,            10.426000,             2.075757,              0.000000
          1185.090820,            10.462000,             2.063660,              0.000000
          1181.026855,            10.498000,             2.048284,              0.000000
          1176.990601,            10.534000,             1.997841,              0.000000
          1172.982056,            10.570000,             1.902315,              0.000000
          1169.000610,            10.606000,             1.910061,              0.000000
          1165.046021,            10.642000,             1.841399,              0.000000
          1161.118164,            10.678000,             1.889932,              0.000000
          1157.216675,            10.714000,             1.878287,              0.000000
          1153.341309,            10.750000,             1.904760,              0.000000
          1149.491943,            10.786000,             1.876638,              0.000000
          1145.668091,            10.822000,             1.838917,              0.000000
          1141.869507,            10.858000,             1.873627,              0.000000
          1138.096069,            10.894000,             1.819219,              0.000000
          1134.347656,            10.930000,             1.844363,              0.000000
          1130.623779,            10.966000,             1.800183,              0.000000
          1126.924194,            11.002000,             1.774124,              0.000000
          1123.248657,            11.038000,             1.815713,              0.000000
          1119.597168,            11.074000,             1.799954,              0.000000
          1115.969360,            11.110000,             1.781503,              0.000000
          1112.364990,            11.146000,             1.746564,              0.000000
          1108.783691,            11.182000,             1.828652,              0.000000
          1105.225464,            11.218000,             1.752645,              0.000000
          1101.690063,            11.254000,             1.730991,              0.000000
          1098.177124,            11.290000,             1.708744,              0.000000
          1094.686523,            11.326000,             1.694171,              0.000000
          1091.218018,            11.362000,             1.654979,              0.000000
          1087.771484,            11.398000,             1.674232,              0.000000
          1084.346680,            11.434000,             1.625471,              0.000000
          1080.943359,            11.470000,             1.672046,              0.000000
          1077.561279,            11.506000,             1.639867,              0.000000
          1074.200317,            11.542000,             1.619982,              0.000000
          1070.860229,            11.578000,             1.622808,              0.000000
          1067.540771,            11.614000,             1.648381,              0.000000
          1064.242065,            11.650000,             1.600380,              0.000000
          1060.963623,            11.686000,             1.596776,              0.000000
          1057.705200,            11.722000,             1.539716,              0.000000
          1054.466675,            11.758000,             1.539143,              0.000000
          1051.248047,            11.794000,             1.547656,              0.000000
          1048.048950,            11.830000,             1.529340,              0.000000
          1044.869385,            11.866000,             1.554403,              0.000000
          1041.708862,            11.902000,             1.501746,              0.000000
          1038.567627,            11.938000,             1.502086,              0.000000
          1035.445068,            11.974000,             1.445976,              0.000000
          1032.341309,            12.010000,             1.445909,              0.000000
          1029.256104,            12.046000,             1.464312,              0.000000
          1026.189453,            12.082000,             1.459678,              0.000000
          1023.140808,            12.118000,             1.448183,              0.000000
          1020.110229,            12.154000,             1.424316,              0.000000
          1017.097595,            12.190000,             1.413490,              0.000000
          1014.102661,            12.226000,             1.394481,              0.000000
          1011.125427,            12.262000,             1.312390,              0.000000
          1008.165527,            12.298000,             1.326249,              0.000000
          1005.222961,            12.334000,             1.342102,              0.000000
          1002.297424,            12.370000,             1.362815,              0.000000
           999.389038,            12.406000,             1.314630,              0.000000
           996.497314,            12.442000,             1.346524,              0.000000
           993.622375,            12.478000,             1.285376,              0.000000
           990.763916,            12.514000,             1.306582,              0.000000
           987.921814,            12.550000,             1.262580,              0.000000
           985.096130,            12.586000,             1.270340,              0.000000
           982.286560,            12.622000,             1.269676,              0.000000
           979.492859,            12.658000,             1.225373,              0.000000
           976.714966,            12.694000,             1.233354,              0.000000
           973.952820,            12.730000,             1.201207,              0.000000
           971.206238,            12.766000,             1.176648,              0.000000
           968.475220,            12.802000,             1.141185,              0.000000
           965.759399,            12.838000,             1.114090,              0.000000
           963.058899,            12.874000,             1.111239,              0.000000
           960.373352,            12.910000,             1.102544,              0.000000
           957.702698,            12.946000,             1.087231,              0.000000
           955.046997,            12.982000,             1.061187,              0.000000
           952.405884,            13.018000,             1.086510,              0.000000
           949.779297,            13.054000,             0.000000,              0.000000
           947.167175,            13.090000,             0.111163,              0.000000
           944.569397,            13.126000,             0.909918,              0.000000
           941.985962,            13.162000,             0.904266,              0.000000
           939.416565,            13.198000,             0.899593,              0.000000
           936.861084,            13.234000,             0.909120,              0.000000
           934.319458,            13.270000,             0.908043,              0.000000
           931.791687,            13.306000,             0.875223,              0.000000
           929.277527,            13.342000,             0.849821,              0.000000
           926.776733,            13.378000,             0.870328,              0.000000
           924.289551,            13.414000,             0.839298,              0.000000
           921.815552,            13.450000,             0.823776,              0.000000
           919.354797,            13.486000,             0.826833,              0.000000
           916.907227,            13.522000,             0.838512,              0.000000
           914.472717,            13.558000,             0.835780,              0.000000
           912.050903,            13.594000,             0.812525,              0.000000
           909.641968,            13.630000,             0.809554,              0.000000
           907.245667,            13.666000,             0.800435,              0.000000
           904.862000,            13.702000,             0.821994,              0.000000
           902.490906,            13.738000,             1.002505,              0.000000
           900.132080,            13.774000,             0.987877,              0.000000
           897.785583,            13.810000,             0.957641,              0.000000
           895.451355,            13.846000,             0.971984,              0.000000
           893.129150,            13.882000,             0.949435,              0.000000
           890.819092,            13.918000,             0.947620,              0.000000
           888.520813,            13.954000,             0.945950,              0.000000
           886.234497,            13.990000,             0.929039,              0.000000
           883.959778,            14.026000,             0.939354,              0.000000
           881.696655,            14.062000,             0.929047,              0.000000
           879.445251,            14.098000,             0.909670,              0.000000
           877.205322,            14.134000,             0.896223,              0.000000
           874.976685,            14.170000,             0.901629,              0.000000
           872.759338,            14.206000,             0.895621,              0.000000
           870.553284,            14.242000,             0.912391,              0.000000
           868.358337,            14.278000,             0.933763,              0.000000
           866.174377,            14.314000,             0.995103,              0.000000
           864.001404,            14.350000,             1.039911,              0.000000
           861.839233,            14.386000,             1.045648,              0.000000
           859.687927,            14.422000,             1.023158,              0.000000
           857.547363,            14.458000,             1.005181,              0.000000
           855.417358,            14.494000,             1.000282,              0.000000
           853.298035,            14.530000,             0.997486,              0.000000
           851.189026,            14.566000,             0.979523,              0.000000
           849.090515,            14.602000,             0.960765,              0.000000
           847.002319,            14.638000,             0.980772,              0.000000
           844.924316,            14.674000,             1.001479,              0.000000
           842.856506,            14.710000,             1.026391,              0.000000
           840.798767,            14.746000,             0.984656,              0.000000
           838.751160,            14.782000,             0.967638,              0.000000
           836.713379,            14.818000,             0.971916,              0.000000
           834.685608,            14.854000,             0.957711,              0.000000
           832.667542,            14.890000,             0.958105,              0.000000
           830.659302,            14.926000,             0.974172,              0.000000
           828.660583,            14.962000,             0.941176,              0.000000
           826.671509,            14.998000,             0.914118,              0.000000
           824.691956,            15.034000,             0.926830,              0.000000
           822.721985,            15.070000,             0.912425,              0.000000
           820.761230,            15.106000,             0.891996,              0.000000
           818.809875,            15.142000,             0.880467,              0.000000
           816.867798,            15.178000,             0.866708,              0.000000
           814.934998,            15.214000,             0.809118,              0.000000
           813.011169,            15.250000,             0.838742,              0.000000
           811.096436,            15.286000,             0.824534,              0.000000
           809.190674,            15.322000,             0.809430,              0.000000
           807.293823,            15.358000,             0.823068,              0.000000
           805.406006,            15.394000,             0.828010,              0.000000
           803.526855,            15.430000,             0.805819,              0.000000
           801.656555,            15.466000,             0.793157,              0.000000
           799.794861,            15.502000,             0.785895,              0.000000
           797.941772,            15.538000,             0.772644,              0.000000
           796.097351,            15.574000,             0.760963,              0.000000
           794.261414,            15.610000,             0.757112,              0.000000
           792.433777,            15.646000,             0.744602,              0.000000
           790.614624,            15.682000,             0.736867,              0.000000
           788.803833,            15.718000,             0.729498,              0.000000
           787.001343,            15.754000,             0.706938,              0.000000
           785.207092,            15.790000,             0.701082,              0.000000
           783.420898,            15.826000,             0.668081,              0.000000
           781.642883,            15.862000,             0.689952,              0.000000
           779.872925,            15.898000,             0.672122,              0.000000
