,BIN_LO,BIN_HI,COUNTS,ERR,A,eV
0,0.295482,0.29551700000000003,0.0,0.8991309999999999,41.95749820098077,295.4995
1,0.29551700000000003,0.295552,0.0,0.8983700000000001,41.9525291958831,295.53450000000004
2,0.295552,0.295588,0.0,0.8983700000000001,41.94749040714794,295.57
3,0.295588,0.295623,0.0,0.897611,41.942452828654126,295.6055
4,0.295623,0.295658,0.0,0.897611,41.9374873863382,295.6405
5,0.295658,0.295693,0.0,0.897611,41.93252311957101,295.6755
6,0.295693,0.295729,0.0,0.897611,41.92748913513775,295.711
7,0.295729,0.29576399999999997,0.0,0.897611,41.92245635921547,295.7465
8,0.29576399999999997,0.295799,0.0,0.896853,41.917495650136054,295.7815
9,0.295799,0.29583400000000004,0.0,0.896853,41.912536114925025,295.8165
10,0.29583400000000004,0.29586999999999997,0.0,0.8960959999999999,41.90750692792585,295.852
11,0.29586999999999997,0.29590500000000003,0.0,0.896853,41.90247894771059,295.8875
12,0.29590500000000003,0.29594000000000004,0.0,0.8960959999999999,41.89752296510308,295.9225
13,0.29594000000000004,0.295976,0.0,0.8953399999999999,41.89249738017123,295.958
14,0.295976,0.296011,0.0,0.8960959999999999,41.8874730007271,295.99350000000004
15,0.296011,0.29604600000000003,0.0,0.8953399999999999,41.882520566907296,296.0285
16,0.29604600000000003,0.296082,0.0,0.8953399999999999,41.877498580174276,296.064
17,0.296082,0.296117,0.0,0.8945860000000001,41.87247779763463,296.09950000000003
18,0.296117,0.29615199999999997,0.0,0.8953399999999999,41.86752890879219,296.13449999999995
19,0.29615199999999997,0.296188,0.0,0.8945860000000001,41.862510516395034,296.17
20,0.296188,0.296223,0.0,0.8945860000000001,41.85749332689878,296.20550000000003
21,0.296223,0.296259,0.0,0.893833,41.85247733987097,296.241
22,0.296259,0.296294,0.0,0.893833,41.84746255487937,296.2765
23,0.296294,0.296329,0.0,0.893833,41.84251957700162,296.3115
24,0.296329,0.296365,0.0,0.893833,41.8375071778716,296.34700000000004
25,0.296365,0.2964,0.0,0.8930809999999999,41.832495979488385,296.3825
26,0.2964,0.29643600000000003,0.0,0.8930809999999999,41.82748598142056,296.418
27,0.29643600000000003,0.296471,0.0,0.8930809999999999,41.822477183236884,296.4535
28,0.296471,0.296506,0.0,0.892331,41.81754010574008,296.4885
29,0.296506,0.29654200000000003,0.0,0.8930809999999999,41.812533689147315,296.524
30,0.29654200000000003,0.296577,0.0,0.892331,41.8075284711524,296.55949999999996
31,0.296577,0.296613,0.0,0.891581,41.802524451324935,296.59499999999997
32,0.296613,0.296648,0.0,0.891581,41.797521629234744,296.63050000000004
33,0.296648,0.296684,0.0,0.892331,41.792520004451866,296.666
34,0.296684,0.296719,0.0,0.890833,41.787519576546515,296.7015
35,0.296719,0.296755,0.0,0.891581,41.78252034508914,296.737
36,0.296755,0.29679,0.0,0.890833,41.77752230965039,296.7725
37,0.29679,0.29682600000000003,0.0,0.890833,41.772525469801074,296.808
38,0.29682600000000003,0.296861,0.0,0.890833,41.76752982511228,296.84350000000006
39,0.296861,0.29689699999999997,0.0,0.8900870000000001,41.76253537515525,296.879
40,0.29689699999999997,0.296933,0.0,0.8900870000000001,41.75747180048405,296.91499999999996
41,0.296933,0.296968,0.0,0.8900870000000001,41.75247975551722,296.95050000000003
42,0.296968,0.297004,0.0,0.8893409999999999,41.74748890399116,296.986
43,0.297004,0.297039,0.0,0.8893409999999999,41.742499245477916,297.0215
44,0.297039,0.297075,0.0,0.8893409999999999,41.73751077954977,297.057
45,0.297075,0.29711,0.0,0.8893409999999999,41.732523505779234,297.0925
46,0.29711,0.297146,0.0,0.888597,41.72753742373899,297.128
47,0.297146,0.297182,0.0,0.888597,41.72248233177881,297.164
48,0.297182,0.297217,0.0,0.888597,41.717498648687894,297.1995
49,0.297217,0.29725300000000004,0.0,0.888597,41.712516156040564,297.235
50,0.29725300000000004,0.29728899999999997,0.0,0.887854,41.707464702714745,297.271
51,0.29728899999999997,0.297324,0.0,0.887854,41.7024846064271,297.30649999999997
52,0.297324,0.29736,0.0,0.8871120000000001,41.697505699298176,297.342
53,0.29736,0.29739499999999996,0.0,0.887854,41.69252798090211,297.37749999999994
54,0.29739499999999996,0.297431,0.0,0.8871120000000001,41.68755145081323,297.413
55,0.297431,0.297467,0.0,0.8871120000000001,41.68250604184488,297.44899999999996
56,0.297467,0.297503,0.0,0.8863719999999999,41.67746185401186,297.485
57,0.297503,0.297538,0.0,0.8863719999999999,41.672488919723904,297.5205
58,0.297538,0.297574,0.0,0.8863719999999999,41.66751717203053,297.55600000000004
59,0.297574,0.29761,0.0,0.8863719999999999,41.66247661106722,297.592
60,0.29761,0.297645,0.0,0.885633,41.65750725198686,297.6275
61,0.297645,0.297681,0.0,0.885633,41.652539078221736,297.663
62,0.297681,0.297717,0.0,0.885633,41.64750214021786,297.699
63,0.297717,0.29775300000000005,0.0,0.8848950000000001,41.642466420275476,297.735
64,0.29775300000000005,0.297788,0.0,0.885633,41.6375018332599,297.7705
65,0.297788,0.297824,0.0,0.884158,41.63253842985271,297.80600000000004
66,0.297824,0.29786,0.0,0.8848950000000001,41.62750632765264,297.842
67,0.29786,0.297896,0.0,0.884158,41.62247544176044,297.878
68,0.297896,0.297931,0.0,0.884158,41.61751561993907,297.9135
69,0.297931,0.297967,0.0,0.884158,41.612556980022475,297.949
70,0.297967,0.298003,0.0,0.884158,41.60752970666549,297.985
71,0.298003,0.298039,0.0,0.8834219999999999,41.60250364786615,298.02099999999996
