,BIN_LO,BIN_HI,COUNTS,ERR,A,eV
4442,0.627768,0.627927,0.22962600000000002,0.372898,19.747501964475,627.8475
4443,0.627927,0.6280859999999999,0.0,0.302873,19.74250225059887,628.0065
4444,0.6280859999999999,0.6282449999999999,0.688103,0.464833,19.73750506775797,628.1655
4445,0.6282449999999999,0.628404,0.229282,0.3766,19.732510414030838,628.3245
4446,0.628404,0.628564,1.031,0.5183800000000001,19.72750259297089,628.484
4447,0.628564,0.6287229999999999,0.5727760000000001,0.453754,19.722497313088766,628.6434999999999
4448,0.6287229999999999,0.628883,0.114427,0.340942,19.7174945724507,628.803
4449,0.628883,0.629042,0.6865600000000001,0.463791,19.712494369124897,628.9625
4450,0.629042,0.629202,0.571706,0.45290699999999995,19.707496701181515,629.122
4451,0.629202,0.629361,0.342896,0.403498,19.70250156669268,629.2815
4452,0.629361,0.629521,0.11421300000000001,0.340306,19.697508963732453,629.4409999999999
4453,0.629521,0.629681,0.342512,0.397226,19.692503251488983,629.6010000000001
4454,0.629681,0.629841,0.913026,0.506728,19.687500082794454,629.761
4455,0.629841,0.630001,0.9123450000000001,0.51018,19.682499455710666,629.9209999999999
4456,0.630001,0.630161,0.228001,0.37449699999999997,19.677501368301407,630.081
4457,0.630161,0.630321,0.569792,0.44176899999999997,19.672505818632423,630.2410000000001
4458,0.630321,0.6304810000000001,0.683241,0.46870500000000004,19.667512804771437,630.401
4459,0.6304810000000001,0.630642,0.796818,0.48751000000000005,19.662506733507705,630.5615
4460,0.630642,0.6308020000000001,0.22749299999999997,0.373663,19.657503210036623,630.722
4461,0.6308020000000001,0.630963,0.22740900000000003,0.369297,19.65250223241367,630.8825
4462,0.630963,0.631123,0.568311,0.440621,19.647503798696313,631.043
4463,0.631123,0.6312840000000001,0.227156,0.373108,19.642507906943983,631.2035000000001
4464,0.6312840000000001,0.631445,0.340607,0.400805,19.637499003571968,631.3645000000001
4465,0.631445,0.631606,0.340481,0.394871,19.632492654121993,631.5255
4466,0.631606,0.631767,0.340229,0.39457800000000004,19.627488856641254,631.6865
4467,0.631767,0.6319279999999999,0.5668380000000001,0.44905,19.62248760917899,631.8474999999999
4468,0.6319279999999999,0.632089,0.453135,0.42415200000000003,19.617488909786367,632.0085
4469,0.632089,0.63225,0.90627,0.49571400000000004,19.612492756516595,632.1695000000001
4470,0.63225,0.632411,0.452633,0.41716800000000004,19.607499147424832,632.3304999999999
4471,0.632411,0.632572,0.113158,0.33716199999999996,19.602508080568228,632.4915
4472,0.632572,0.632734,0.452298,0.41686000000000006,19.597504065642173,632.653
4473,0.632734,0.632895,1.01692,0.511303,19.59250260485611,632.8145000000001
4474,0.632895,0.633057,0.677697,0.469059,19.587503696255016,632.976
4475,0.633057,0.633219,1.24199,0.558028,19.582491873242038,633.138
4476,0.633219,0.63338,0.9029290000000001,0.501125,19.577498071040193,633.2995
4477,0.63338,0.633542,0.451132,0.422278,19.572506815164182,633.461
4478,0.633542,0.633704,0.4508,0.421967,19.567502662688568,633.623
